date,cases_deaths_link,cases_deaths_link_smoothed,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed
2020-03-17,7,6.493006993006993,40,1,21.143,0.286
2020-03-18,Infinity,8.493006993006993,54,0,28.429,0.286
2020-03-19,Infinity,8.98951048951049,69,0,36.857,0.286
2020-03-20,Infinity,9.989510489510492,74,0,46.143,0.286
2020-03-21,3,11.48951048951049,191,1,69.571,0.286
2020-03-22,10,10.655011655011654,126,1,84.714,0.429
2020-03-23,3,6.168028004667444,102,3,93.714,0.857
2020-03-24,5.4,5.698390482855144,121,5,105.286,1.429
2020-03-25,10,6.001166861143524,219,2,128.857,1.714
2020-03-26,5.571428571428571,5.789977892409728,204,7,148.143,2.714
2020-03-27,5,5.481721545242416,235,8,171.143,3.857
2020-03-28,6,5.6857999999999995,255,9,180.286,5
2020-03-29,4.6,5.265285714285715,302,15,205.429,7
2020-03-30,18.5,6.459890802183956,294,4,232.857,7.143
2020-03-31,13.642857142857142,8.253766757622493,210,14,245.571,8.429
2020-04-01,6,7.6024409943462254,285,21,255,11.143
2020-04-02,6.375,7.539946898382814,325,16,272.286,12.429
2020-04-03,6.05,7.4443894506116095,212,20,269,14.143
2020-04-04,9.954545454545455,8.0535625,402,22,290,16
2020-04-05,8.5,8.570114543561262,424,24,307.429,17.286
2020-04-06,6.527777777777778,7.830123072699822,331,36,312.714,21.857
2020-04-07,6.071428571428571,6.972425262018023,390,42,338.429,25.857
2020-04-08,8.38888888888889,7.33675,865,36,421.286,28
2020-04-09,8.647058823529411,7.616924536325275,365,34,427,30.571
2020-04-10,4.117647058823529,7.0163142857142855,464,51,463,35
2020-04-11,8.382352941176471,6.945579343029907,705,34,506.286,36.714
2020-04-12,7.065217391304348,6.8315728730210505,696,46,545.143,39.857
2020-04-13,4.416666666666667,6.470857087873759,839,48,617.714,41.571
2020-04-14,8.933333333333334,6.904761904761905,727,45,665.857,42
2020-04-15,7.43859649122807,6.831755555555555,992,57,684,45
2020-04-16,7.042553191489362,6.673794737179077,831,47,750.571,46.857
2020-04-17,7.8,7.244701802457507,1069,50,837,46.714
2020-04-18,16.96078431372549,8.57265531204851,724,51,839.714,49.143
2020-04-19,8.488372093023257,8.765447304676274,709,43,841.571,48.714
2020-04-20,8.592592592592593,9.340138387363579,778,54,832.857,49.571
2020-04-21,15.666666666666666,10.21335054769926,493,45,799.429,49.571
2020-04-22,17.846153846153847,11.598787234042554,401,39,715,47
2020-04-23,21.512820512820515,13.470440717883857,388,39,651.714,45.857
2020-04-24,16.522727272727273,14.796822222222222,631,44,589.143,45
2020-04-25,28.34285714285714,16.013485040033714,936,35,619.429,42.714
